trial_type,go_nogo,stim_type,stim_subtype,corr_resp1,corr_resp2,imgLoader.thisRepN,imgLoader.thisTrialN,imgLoader.thisN,imgLoader.thisIndex,pracBlock_loop.thisRepN,pracBlock_loop.thisTrialN,pracBlock_loop.thisN,pracBlock_loop.thisIndex,pracTrials_loop.thisRepN,pracTrials_loop.thisTrialN,pracTrials_loop.thisN,pracTrials_loop.thisIndex,thisRow.t,notes,prepStims.started,prepStims.stopped,loadStims.started,loadStims.stopped,shuffleStims.started,shuffleStims.stopped,prepTimings.started,prepTimings.stopped,instructions.started,textInstructions.started,keyInstruct.started,instructions.stopped,keyInstruct.keys,keyInstruct.rt,keyInstruct.duration,prepPrac.started,textPractice.started,keyPractice.started,prepPrac.stopped,keyPractice.keys,keyPractice.rt,keyPractice.duration,prepTrial.started,jitter_time,trial_img,trial_time,prepTrial.stopped,jitteredISI.started,textJitteredFix.started,textJitteredFix.stopped,jitteredISI.stopped,preTrial.started,textPreTrialFix.started,textPreTrialFix.stopped,preTrial.stopped,iceTrial.started,stopSignal.started,imageTarg.started,keyResp.started,stopSignal.stopped,iceTrial.stopped,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,go_accuracy,go_reaction_time,postTrial.started,textPostTrial.started,postTrial.stopped,imageTarg.stopped,keyResp.stopped,buzz_time,no_go_acc,new_buzz_time,textPostTrial.stopped,blockFeedback.started,feedbackText.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Negative,no_go,negative_image,none,None,None,,,,,0,0,0,0,0,22,22,41,69.73835683300058,,,,,,,,,,,,,,,,,,,,,,,,69.7291657500009,0.3,Naturalistic_scenes/Ambiguous/2595.jpg,1.25,69.72943529099939,69.72944933299914,69.73835683300058,70.03872212500028,70.02989887500007,70.02990833299918,70.03872212500028,,70.53022729099939,70.53023416600081,71.18045126249963,70.78054399999928,70.78054399999928,71.68476704100067,72.02283937500033,None,0,,,,,72.02759166599935,72.0358397910004,73.03006566600016,72.0358397910004,72.0358397910004,0.6500000000000001,1,0.7000000000000002,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Positive,no_go,positive_image,none,None,None,,,,,0,0,0,0,0,23,23,42,73.03888295800061,,,,,,,,,,,,,,,,,,,,,,,,73.03024150000056,0.25,Naturalistic_scenes/Positive/1460.jpg,1.25,73.0304345830009,73.03044441599923,73.03888295800061,73.28807525000047,73.2809642079992,73.2809732500009,73.28807525000047,73.79750229099955,73.78037370799939,73.78038083300089,74.48064626249943,74.02998712500084,74.02998712500084,74.98517204100062,75.27295870799935,None,0,,,,,75.27349170799971,75.28026675000001,76.27255312499983,75.28026675000001,75.28026675000001,0.7000000000000002,1,0.7500000000000002,76.27907608299938,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Negative,no_go,negative_image,none,None,None,,,,,0,0,0,0,0,24,24,38,76.27907608299938,,,,,,,,,,,,,,,,,,,,,,,,76.2728016660003,0.3,Naturalistic_scenes/Negative/3069.jpg,1.25,76.27299229100026,76.27300383299917,76.27907608299938,76.57741762499973,76.57234791600058,76.5723568329995,76.57741762499973,77.09285533299953,77.07282316599958,77.07284116600022,77.82136417849979,77.32964641599938,77.32964641599938,78.32613516600031,78.57290629099953,None,0,,,,,78.57342837500073,78.58022291599991,79.57316154100045,78.58022291599991,78.58022291599991,0.7500000000000002,1,0.8000000000000003,79.58119016599994,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Negative,go,negative_image,none,l,None,,,,,0,0,0,0,0,25,25,18,79.58119016599994,,,,,,,,,,,,,,,,,,,,,,,,79.57372600000053,0.3,Naturalistic_scenes/Ambiguous/7018.jpg,1.25,79.57412754100005,79.57415050000054,79.58119016599994,79.88090424999973,79.87289137500011,79.87291279099918,79.88090424999973,80.39534591600022,80.37188095800047,80.3718873329999,80.39714753749978,80.6272811660001,80.6272811660001,80.90147799999977,81.87269625000044,None,0,,,0,[],81.8732623750002,81.88261087499995,82.87981154100089,81.88261087499995,81.88261087499995,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Positive,no_go,positive_image,none,None,None,,,,,0,0,0,0,0,26,26,44,82.88890283299952,,,,,,,,,,,,,,,,,,,,,,,,82.87998479099952,0.15,Naturalistic_scenes/Ambiguous/1945.jpg,1.25,82.88019758299924,82.88020695799969,82.88890283299952,83.03882204100046,83.02997104099995,83.0299804160004,83.03882204100046,,83.53019620799932,83.53020325000034,84.33030863749919,83.78050345799966,83.78050345799966,84.83505916600006,85.02284775000044,None,0,,,,,85.0233389999994,85.03240837500016,86.02925441600019,85.03240837500016,85.03240837500016,0.8000000000000003,1,0.8500000000000003,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Ambiguous,go,ambiguous_image,none,a,l,,,,,0,0,0,0,0,27,27,2,86.03895420799927,,,,,,,,,,,,,,,,,,,,,,,,86.0295299999998,0.3,Naturalistic_scenes/Ambiguous/7026.jpg,1.25,86.02983183300057,86.02984137500061,86.03895420799927,86.33899158299937,86.33007737499975,86.33008620799956,86.33899158299937,,86.83068154099965,86.8306888749994,86.84768339999974,87.07799754100051,87.07799754100051,87.35220883299917,88.32274179100023,None,0,,,0,[],88.32328129099915,88.33302170800016,89.32862233299966,88.33302170800016,88.33302170800016,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Negative,go,negative_image,none,l,None,,,,,0,0,0,0,0,28,28,20,89.3392465830002,,,,,,,,,,,,,,,,,,,,,,,,89.32879683300052,0.2,Naturalistic_scenes/Negative/6821.jpg,1.25,89.32906591599931,89.3290751250006,89.3392465830002,89.54723037499934,89.53990529099974,89.539924875,89.54723037499934,90.05947829099932,90.0389812909998,90.03899904100035,90.05532656600045,90.29706837500089,90.29706837500089,90.55845066599977,91.54010716599987,None,0,,,0,[],91.54086583299977,91.54738612499932,92.54010329099947,91.54738612499932,91.54738612499932,,,,92.54676229100005,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Positive,go,positive_image,none,a,None,,,,,0,0,0,0,0,29,29,28,92.54676229100005,,,,,,,,,,,,,,,,,,,,,,,,92.5406863749995,0.3,Naturalistic_scenes/Negative/3064.jpg,1.25,92.54096629100059,92.5409746660007,92.54676229100005,92.84605141599968,92.83964299999934,92.83966233300089,92.84605141599968,93.35945029100003,93.33992533300079,93.33994270800031,93.3562817749993,93.59478795799987,93.59478795799987,93.86679079100031,94.13981920799961,l,0,0.5443015840010048,None,0,0.5443015840010048,94.14027829100087,94.14997216600023,95.14701804099968,,,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Positive,go,positive_image,none,a,None,,,,,0,0,0,0,0,30,30,25,95.15500454100038,,,,,,,,,,,,,,,,,,,,,,,,95.14719387500008,0.15,Naturalistic_scenes/Ambiguous/7506.jpg,1.25,95.14739879099943,95.1474078329993,95.15500454100038,95.30559558300047,95.29687858299985,95.29688629100019,95.30559558300047,,95.79753462500048,95.79754116600088,95.82306253749958,96.04506837500048,96.04506837500048,96.32975516599981,96.53964908300077,a,0,0.48860045800029184,None,1,0.48860045800029184,96.54001349999999,96.5486173749996,97.5465227500008,,,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Ambiguous,go,ambiguous_image,none,a,l,,,,,0,0,0,0,0,31,31,8,97.55561229100022,,,,,,,,,,,,,,,,,,,,,,,,97.54669224999998,0.25,Naturalistic_scenes/Negative/6350.jpg,1.25,97.54696520799916,97.54697429100088,97.55561229100022,97.80573604100027,97.79752675000054,97.79753558300035,97.80573604100027,,98.30609354099943,98.30612120799924,98.32299602499953,98.54501191599957,98.54501191599957,98.8304602499993,99.27339112499976,l,0,0.7197253340000316,None,1,0.7197253340000316,99.2743450830003,99.28207170799942,100.27985983299914,,,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Negative,no_go,negative_image,none,None,None,,,,,0,0,0,0,0,32,32,36,100.28903879099926,,,,,,,,,,,,,,,,,,,,,,,,100.28003141599947,0.2,Naturalistic_scenes/Negative/1302.jpg,1.25,100.28022604100079,100.28023508300066,100.28903879099926,100.4969426660009,100.48993700000028,100.48995829100022,100.4969426660009,101.00816499999928,100.99004641600004,100.99006200000076,,101.24761487499927,101.24761487499927,,101.7237883329999,l,0,0.467250542000329,None,,,101.72769416600022,101.73716287500065,102.72995579099916,,,0.8500000000000003,0,0.8000000000000003,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Negative,go,negative_image,none,l,None,,,,,0,0,0,0,0,33,33,21,102.73871441600022,,,,,,,,,,,,,,,,,,,,,,,,102.73013595799966,0.25,Naturalistic_scenes/Negative/9417.jpg,1.25,102.73035504099971,102.73036250000041,102.73871441600022,102.98847299999943,102.98108599999978,102.98109499999919,102.98847299999943,103.49678012500044,103.47990974999993,103.47991620799985,103.49672273300021,103.73016508299952,103.73016508299952,104.00139375000072,104.57325362499978,a,0,0.8353152919989952,None,0,0.8353152919989952,104.57363783300025,104.58325420800065,105.5794856249995,,,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Positive,go,positive_image,none,a,None,,,,,0,0,0,0,0,34,34,32,105.58910566600025,,,,,,,,,,,,,,,,,,,,,,,,105.57965291599976,0.2,Naturalistic_scenes/Negative/3053.jpg,1.25,105.5798601660008,105.57986899999923,105.58910566600025,105.78896370800067,105.78095083299922,105.78095912500066,105.78896370800067,106.30402958299965,106.28008291600054,106.28008929099997,106.3054113284994,106.53014395799983,106.53014395799983,106.80969633300083,107.02460195800086,l,0,0.4928734999994049,None,0,0.4928734999994049,107.02570970799934,107.03417891599929,108.03065791600056,,,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Ambiguous,go,ambiguous_image,none,a,l,,,,,0,0,0,0,0,35,35,5,108.03899491599987,,,,,,,,,,,,,,,,,,,,,,,,108.03082908299984,0.3,Naturalistic_scenes/Ambiguous/1230.jpg,1.25,108.03103783299957,108.03104541600078,108.03899491599987,108.33916862499973,108.3308846660002,108.33089383299921,108.33916862499973,108.84729162499934,108.83008850000078,108.8300951250003,108.8468913159999,109.08089966599982,109.08089966599982,109.35211683300076,109.65672712500054,a,0,0.5686330419994192,None,1,0.5686330419994192,109.65768220800055,109.66803183299999,110.6638299160004,,,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Ambiguous,go,ambiguous_image,none,a,l,,,,,0,0,0,0,0,36,36,10,110.67237045799993,,,,,,,,,,,,,,,,,,,,,,,,110.66400116600016,0.3,Naturalistic_scenes/Positive/4641.jpg,1.25,110.66422520800006,110.66423404099987,110.67237045799993,110.97256412500064,110.96349404099965,110.96350304100088,110.97256412500064,,111.46383245799916,111.46383900000001,111.48083969099972,111.71377420799945,111.71377420799945,111.98568312499992,112.1477219999997,a,0,0.42665512500025216,None,1,0.42665512500025216,112.14810841600047,112.15662412500023,113.14752354099983,,,,,,113.15554616599911,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Ambiguous,go,ambiguous_image,none,a,l,,,,,0,0,0,0,0,37,37,6,113.15554616599911,,,,,,,,,,,,,,,,,,,,,,,,113.14770645799945,0.15,Naturalistic_scenes/Negative/9183.jpg,1.25,113.14787462499953,113.14788245800082,113.15554616599911,113.30534325000008,113.2978148330003,113.29782366600011,113.30534325000008,113.8217422079997,113.79684291599915,113.79684970800008,113.82217949550032,114.04778279099992,114.04778279099992,114.32561829100086,114.68067616600092,l,0,0.6302633340001194,None,1,0.6302633340001194,114.68110620799962,114.68916424999952,115.68019141600053,,,,,,115.68858887500028,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Positive,no_go,positive_image,none,None,None,,,,,0,0,0,0,0,38,38,46,115.68858887500028,,,,,,,,,,,,,,,,,,,,,,,,115.68035537499964,0.3,Naturalistic_scenes/Negative/3017.jpg,1.25,115.68052941600035,115.68053845800023,115.68858887500028,115.98919999999998,115.98015908299931,115.98016900000039,115.98919999999998,,116.48970187499981,116.4897240829996,117.28087042849911,116.72993433299962,116.72993433299962,,117.50636124999983,a,0,0.7714057079992926,None,,,117.51164149999931,117.52240979099952,118.51417445799962,,,0.8000000000000003,0,0.7500000000000002,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Ambiguous,go,ambiguous_image,none,a,l,,,,,0,0,0,0,0,39,39,3,118.52193987499959,,,,,,,,,,,,,,,,,,,,,,,,118.51436879100038,0.15,Naturalistic_scenes/Negative/3168.jpg,1.25,118.51458491599988,118.51459249999971,118.52193987499959,118.67222866600059,118.66310949999934,118.66311837499961,118.67222866600059,,119.16398474999914,119.16399108299993,119.18099081599976,119.41333416599991,119.41333416599991,119.68484541600083,120.02977216600084,l,0,0.6113637079997716,None,1,0.6113637079997716,120.03021662500032,120.0395765409994,121.03960200000074,,,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Positive,go,positive_image,none,a,None,,,,,0,0,0,0,0,40,40,27,121.04789966600038,,,,,,,,,,,,,,,,,,,,,,,,121.0401514160003,0.25,Naturalistic_scenes/Ambiguous/7242.jpg,1.25,121.0407552910001,121.0407729159997,121.04789966600038,121.29792312499922,121.29008720800084,121.2901100830004,121.29792312499922,121.80990874999952,121.78979254099977,121.7898018750002,121.80655398300078,122.04452762499932,122.04452762499932,122.31675349999932,122.68076070800089,a,0,0.6329993750005087,None,1,0.6329993750005087,122.68122337500063,122.68919891599944,123.68018237499928,,,,,,123.68893199999911,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Positive,no_go,positive_image,none,None,None,,,,,0,0,0,0,0,41,41,47,123.68893199999911,,,,,,,,,,,,,,,,,,,,,,,,123.68037399999957,0.2,Naturalistic_scenes/Negative/1321.jpg,1.25,123.68057995799973,123.68058966600074,123.68893199999911,123.88916237500052,123.88137333300074,123.88138224999966,123.88916237500052,124.3961197080007,124.38052116600011,124.38052829099979,,124.63071954100087,124.63071954100087,,125.10682270799953,l,0,0.4676735829998506,None,,,125.10799266600043,125.11818404100086,126.11335208300079,,,0.7500000000000002,0,0.7000000000000002,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Negative,go,negative_image,none,l,None,,,,,0,0,0,0,0,42,42,22,126.12265166600082,,,,,,,,,,,,,,,,,,,,,,,,126.11351737500081,0.25,Naturalistic_scenes/Ambiguous/7009.jpg,1.25,126.11380754099991,126.11381666600028,126.12265166600082,126.37214795799991,126.36433220800063,126.3643549160006,126.37214795799991,,126.87210849999974,126.87211545799983,126.8891131910008,127.11117491600089,127.11117491600089,127.39216983299957,127.82367079100004,a,0,0.7041642500007583,None,0,0.7041642500007583,127.82459633299914,127.83516141600012,128.82894058300008,,,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Positive,go,positive_image,none,a,None,,,,,0,0,0,0,0,43,43,33,128.83932616600032,,,,,,,,,,,,,,,,,,,,,,,,128.8292010410005,0.3,Naturalistic_scenes/Negative/2095.jpg,1.25,128.8294939999996,128.82950175000042,128.83932616600032,129.13883120799983,129.13174620800055,129.1317560410007,129.13883120799983,129.64838054100073,129.6302819579996,129.630288458,129.64707785799908,129.88044558299953,129.88044558299953,130.15233808300036,130.3968722080008,l,0,0.5135522919990763,None,0,0.5135522919990763,130.39723508300085,130.404905333,131.39729412499946,,,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Negative,go,negative_image,none,l,None,,,,,0,0,0,0,0,44,44,12,131.4056247080007,,,,,,,,,,,,,,,,,,,,,,,,131.39746833299978,0.15,Naturalistic_scenes/Negative/1280.jpg,1.25,131.39768687499964,131.39769625000008,131.4056247080007,131.5556489999999,131.54748491600003,131.5474943749996,131.5556489999999,,132.05670304100022,132.0567268750001,132.07359123300046,132.29667829100072,132.29667829100072,132.58327804100009,132.74071874999936,l,0,0.4407130839990714,None,1,0.4407130839990714,132.74155558299935,132.75044666599933,133.7474811659995,,,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Ambiguous,go,ambiguous_image,none,a,l,,,,,0,0,0,0,0,45,45,11,133.75576962500054,,,,,,,,,,,,,,,,,,,,,,,,133.74765179099995,0.3,Naturalistic_scenes/Positive/2395.jpg,1.25,133.74791399999958,133.74792225000056,133.75576962500054,134.05609550000008,134.04710870800045,134.0471178330008,134.05609550000008,,134.54785945799995,134.54786566599978,134.56486702499967,134.79610862499976,134.79610862499976,135.069616666,135.28039887500017,a,0,0.4775697910008603,None,1,0.4775697910008603,135.2807457079998,135.28892649999943,136.28975620799974,,,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Positive,go,positive_image,none,a,None,,,,,0,0,0,0,0,46,46,29,136.29829812500066,,,,,,,,,,,,,,,,,,,,,,,,136.2902872499999,0.35,Naturalistic_scenes/Negative/3131.jpg,1.25,136.2909376660009,136.29095791600048,136.29829812500066,136.64703341600034,136.64013549999981,136.64016045800054,136.64703341600034,137.16461216599964,137.13993462500002,137.13995333300045,137.1645118704997,137.3960601660001,137.3960601660001,137.6678522910006,137.90771162499914,l,0,0.5098105000015494,None,0,0.5098105000015494,137.90887283300071,137.9185406659999,138.91331987500052,,,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Ambiguous,go,ambiguous_image,none,a,l,,,,,0,0,0,0,0,47,47,7,138.9227888330006,,,,,,,,,,,,,,,,,,,,,,,,138.91349179099961,0.35,Naturalistic_scenes/Ambiguous/5471.jpg,1.25,138.91370779099998,138.91371658299977,138.9227888330006,139.28076337499988,139.2738341660006,139.27385754100032,139.28076337499988,139.79190774999915,139.77381033299935,139.7738282499995,139.79013669099947,140.03049800000008,140.03049800000008,140.298752875,140.64724979099992,a,0,0.6105413749992294,None,1,0.6105413749992294,140.64767745800054,140.6566801659992,141.6565197910004,,,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.6984864999995,141.70865729099933,,,,,,,,
