trial_type,go_nogo,stim_type,stim_subtype,corr_resp1,corr_resp2,n,keyResp.corr_mean,keyResp.corr_raw,keyResp.corr_std,keyResp.duration_raw,keyResp.keys_raw,keyResp.rt_mean,keyResp.rt_raw,keyResp.rt_std,order
Ambiguous,go,ambiguous_image,none,a,l,1.0,0.0,0.0,0.0,,'l',0.6435661911964417,0.6435661911964417,0.0,13.0
Ambiguous,go,ambiguous_image,none,a,l,1.0,0.0,0.0,0.0,,'l',0.6085723042488098,0.6085723042488098,0.0,0.0
Ambiguous,go,ambiguous_image,none,a,l,1.0,0.0,0.0,0.0,'--',,,,,27.0
Ambiguous,go,ambiguous_image,none,a,l,1.0,0.0,0.0,0.0,,'l',0.6113637089729309,0.6113637089729309,0.0,39.0
Ambiguous,go,ambiguous_image,none,a,l,1.0,0.0,0.0,0.0,,'l',0.7760095000267029,0.7760095000267029,0.0,10.0
Ambiguous,go,ambiguous_image,none,a,l,1.0,0.0,0.0,0.0,,'a',0.5686330199241638,0.5686330199241638,0.0,35.0
Ambiguous,go,ambiguous_image,none,a,l,1.0,0.0,0.0,0.0,,'l',0.6302633285522461,0.6302633285522461,0.0,37.0
Ambiguous,go,ambiguous_image,none,a,l,1.0,0.0,0.0,0.0,,'a',0.6105414032936096,0.6105414032936096,0.0,47.0
Ambiguous,go,ambiguous_image,none,a,l,1.0,0.0,0.0,0.0,,'l',0.7197253108024597,0.7197253108024597,0.0,31.0
Ambiguous,go,ambiguous_image,none,a,l,1.0,0.0,0.0,0.0,,'a',0.6261024475097656,0.6261024475097656,0.0,14.0
Ambiguous,go,ambiguous_image,none,a,l,1.0,0.0,0.0,0.0,,'a',0.426655113697052,0.426655113697052,0.0,36.0
Ambiguous,go,ambiguous_image,none,a,l,1.0,0.0,0.0,0.0,,'a',0.4775697886943817,0.4775697886943817,0.0,45.0
Negative,go,negative_image,none,l,None,1.0,0.0,0.0,0.0,,'l',0.4407130777835846,0.4407130777835846,0.0,44.0
Negative,go,negative_image,none,l,None,1.0,0.0,0.0,0.0,,'a',0.7109161615371704,0.7109161615371704,0.0,4.0
Negative,go,negative_image,none,l,None,1.0,0.0,0.0,0.0,,'l',0.98305344581604,0.98305344581604,0.0,8.0
Negative,go,negative_image,none,l,None,1.0,0.0,0.0,0.0,,'l',0.5090909600257874,0.5090909600257874,0.0,3.0
Negative,go,negative_image,none,l,None,1.0,0.0,0.0,0.0,,'a',0.46016234159469604,0.46016234159469604,0.0,18.0
Negative,go,negative_image,none,l,None,1.0,0.0,0.0,0.0,,'l',0.4885265827178955,0.4885265827178955,0.0,9.0
Negative,go,negative_image,none,l,None,1.0,0.0,0.0,0.0,'--',,,,,25.0
Negative,go,negative_image,none,l,None,1.0,0.0,0.0,0.0,'--',,,,,2.0
Negative,go,negative_image,none,l,None,1.0,0.0,0.0,0.0,'--',,,,,28.0
Negative,go,negative_image,none,l,None,1.0,0.0,0.0,0.0,,'a',0.8353152871131897,0.8353152871131897,0.0,33.0
Negative,go,negative_image,none,l,None,1.0,0.0,0.0,0.0,,'a',0.7041642665863037,0.7041642665863037,0.0,42.0
Negative,go,negative_image,none,l,None,1.0,0.0,0.0,0.0,,'a',0.5765264630317688,0.5765264630317688,0.0,15.0
Positive,go,positive_image,none,a,None,1.0,0.0,0.0,0.0,,'a',0.62029629945755,0.62029629945755,0.0,1.0
Positive,go,positive_image,none,a,None,1.0,0.0,0.0,0.0,,'a',0.4886004626750946,0.4886004626750946,0.0,30.0
Positive,go,positive_image,none,a,None,1.0,0.0,0.0,0.0,'--',,,,,20.0
Positive,go,positive_image,none,a,None,1.0,0.0,0.0,0.0,,'a',0.6329993605613708,0.6329993605613708,0.0,40.0
Positive,go,positive_image,none,a,None,1.0,0.0,0.0,0.0,,'l',0.5443015694618225,0.5443015694618225,0.0,29.0
Positive,go,positive_image,none,a,None,1.0,0.0,0.0,0.0,,'l',0.5098105072975159,0.5098105072975159,0.0,46.0
Positive,go,positive_image,none,a,None,1.0,0.0,0.0,0.0,,'a',0.4536757469177246,0.4536757469177246,0.0,5.0
Positive,go,positive_image,none,a,None,1.0,0.0,0.0,0.0,,'l',0.5758596062660217,0.5758596062660217,0.0,21.0
Positive,go,positive_image,none,a,None,1.0,0.0,0.0,0.0,,'l',0.49287348985671997,0.49287348985671997,0.0,34.0
Positive,go,positive_image,none,a,None,1.0,0.0,0.0,0.0,,'l',0.5135523080825806,0.5135523080825806,0.0,43.0
Positive,go,positive_image,none,a,None,1.0,0.0,0.0,0.0,,'a',0.5292783379554749,0.5292783379554749,0.0,12.0
Positive,go,positive_image,none,a,None,1.0,0.0,0.0,0.0,,'a',0.6006169319152832,0.6006169319152832,0.0,17.0
Negative,no_go,negative_image,none,None,None,1.0,0.0,0.0,0.0,,'l',0.4672505557537079,0.4672505557537079,0.0,32.0
Negative,no_go,negative_image,none,None,None,1.0,0.0,0.0,0.0,'--',,,,,6.0
Negative,no_go,negative_image,none,None,None,1.0,0.0,0.0,0.0,'--',,,,,24.0
Negative,no_go,negative_image,none,None,None,1.0,0.0,0.0,0.0,'--',,,,,11.0
Negative,no_go,negative_image,none,None,None,1.0,0.0,0.0,0.0,'--',,,,,16.0
Negative,no_go,negative_image,none,None,None,1.0,0.0,0.0,0.0,'--',,,,,22.0
Positive,no_go,positive_image,none,None,None,1.0,0.0,0.0,0.0,'--',,,,,23.0
Positive,no_go,positive_image,none,None,None,1.0,0.0,0.0,0.0,,'a',0.610247015953064,0.610247015953064,0.0,19.0
Positive,no_go,positive_image,none,None,None,1.0,0.0,0.0,0.0,'--',,,,,26.0
Positive,no_go,positive_image,none,None,None,1.0,0.0,0.0,0.0,'--',,,,,7.0
Positive,no_go,positive_image,none,None,None,1.0,0.0,0.0,0.0,,'a',0.7714056968688965,0.7714056968688965,0.0,38.0
Positive,no_go,positive_image,none,None,None,1.0,0.0,0.0,0.0,,'l',0.46767356991767883,0.46767356991767883,0.0,41.0

extraInfo
participant,jd
session,001
date,2024-02-08_16h20.54.810
expName,ESST
psychopyVersion,2023.2.3
frameRate,118.82552847492606
expStart,2024-02-08 16h21.01.981537 -0800
